date,BEVERAGES,BREAD/BAKERY,CLEANING,DAIRY,DELI,GROCERY I,MEATS,PERSONAL CARE,POULTRY,PRODUCE
2015-01-22,54953.0,21606.757,44083.0,27471.0,12446.738,136775.237,14346.907027,11503.0,16213.477004,105.0
2015-01-23,63469.0,22550.384,48883.0,30730.0,13837.13101,151016.786,21776.845986,11212.0,22268.634939,269.0
2015-01-24,96166.0,31226.021,70036.0,45400.0,18581.127,219027.085,19763.99702,19259.0,25099.78898,548.0
2015-01-25,105923.0,36025.85303,74457.0,52057.0,21504.45602,235597.166,21182.361991,21883.0,27570.28499,308.0
2015-01-26,60931.0,24874.036,49507.0,32854.0,13677.45198,158602.944,13664.278016,12718.0,17769.330977999998,45.0
2015-01-27,52079.0,21889.275,44389.0,29059.0,12146.703,137455.463,13218.26098,11341.0,15629.919066,78.0
2015-01-28,58011.0,22614.683,45658.0,31071.0,11751.71901,141831.882,14063.476974,11014.0,16099.719058,67.0
2015-01-29,50044.0,20160.11598,41342.0,26415.0,11793.79001,128024.548,14380.75698,9928.0,15511.43204,95.0
2015-01-30,68934.0,22873.54897,51327.0,32610.0,13878.323,156411.67,22040.696988,12634.0,22745.944937,311.0
2015-01-31,105212.0,31596.233,83815.0,48474.0,20036.234,248177.476,21036.76898,23576.0,27236.274866,556.0
2015-02-01,123239.0,40955.507,104270.0,62698.0,26858.167,322209.277,25782.15001,31386.0,35271.413956,342.0
2015-02-02,74256.0,27642.625,71465.0,39706.0,17602.633,216169.954,18382.446997,19649.0,22443.701959,64.0
2015-02-03,71036.0,23956.55496,63184.0,34970.0,15176.713013999999,186747.715,16799.823998,16876.0,19066.802975,60.0
2015-02-04,64450.0,24311.61403,59892.0,34538.0,13760.728,176822.579,16644.89401,15081.0,18470.57503,68.0
2015-02-05,62577.0,21379.817,53060.0,28591.0,13291.55402,154557.487,16567.03402,13489.0,17237.584946,112.0
2015-02-06,72859.0,21177.80003,54061.0,30530.0,13614.559,157048.207,22098.786168,12340.0,21668.367987999998,320.0
2015-02-07,97983.0,28887.37495,75295.0,42736.0,18072.796,229188.483,19611.046946,19895.0,23969.06,591.0
2015-02-08,94395.0,31526.156,79235.0,47717.0,20148.176,244598.635,21425.027976,22658.0,26663.419965,307.0
2015-02-09,64997.0,24891.77,61157.0,33762.0,14453.43,182590.533,16597.97401,14345.0,17830.987004,57.0
2015-02-10,60081.0,21141.188,51652.0,29726.0,12603.239,156580.066,14645.42801,12473.0,15952.54593,82.0
2015-02-11,60369.0,21985.326,49744.0,30295.0,11715.245996,156498.351,14747.06198,12216.0,15223.538062,114.0
2015-02-12,63431.0,19971.224,46158.0,27205.0,12034.83899,148560.357,14736.59203,10060.0,14735.841955,178.0
2015-02-13,86290.0,24056.28903,55521.0,33911.0,14674.824980000001,181270.135,21673.709991,13791.0,21446.823012,447.0
2015-02-14,103490.0,26000.82298,66387.0,38281.0,16633.638,207140.818,17179.268015,16630.0,20238.944085,917.0
2015-02-15,74875.0,22001.21294,52579.0,31034.0,13966.548999999999,159705.413,15286.041986,13279.0,17070.737915,732.0
2015-02-16,75002.0,20741.41202,48326.0,29926.0,13786.763,152859.071,15113.552936,12111.0,17054.589044,732.0
2015-02-17,81193.0,25979.39002,57751.0,37854.0,16139.66801,182242.01,16660.38603,15184.0,20827.195011,418.0
2015-02-18,76071.0,27763.186,63633.0,39086.0,15642.328,193705.531,16378.880944,15103.0,19059.93999,67.0
2015-02-19,61469.0,23476.05101,55577.0,31427.0,14879.648000000001,173733.524,17713.964974,12717.0,17525.35994,102.0
2015-02-20,77607.0,24408.197,58301.0,35297.0,15037.594,181911.508,22589.915982,13027.0,22526.367038,230.0
2015-02-21,97337.0,29302.265,68013.0,43248.0,18130.576,216911.094,18273.647047,16888.0,22881.338001,498.0
2015-02-22,119559.0,37269.743,81730.0,55470.0,23294.497,266944.007,21002.119998000002,21924.0,27098.77979,338.0
2015-02-23,67447.0,24132.28,55212.0,34267.0,14904.167,177592.818,15057.44397,12935.0,16707.60387,45.0
2015-02-24,63167.0,22634.793,50531.0,31665.0,12987.808,160180.866,14288.17901,11343.0,15649.699967,73.0
2015-02-25,60108.0,22691.2681,48954.0,31620.0,12198.654,153616.62,13626.108997,11061.0,16151.41495,52.0
2015-02-26,52844.0,20551.003,43519.0,26888.0,12838.292,134189.587,14949.95795,9579.0,14909.68803,109.0
2015-02-27,67085.0,22466.641,51254.0,31613.0,14715.173999999999,162848.152,21031.651881,11921.0,22102.32001,280.0
2015-02-28,96695.0,30625.743000000002,78740.0,46686.0,20700.527000000002,248033.087,19871.980973,21384.0,26297.53508,572.0
2015-03-01,120531.0,40907.49,102601.0,61853.0,28423.31503,331389.762,25721.369899999998,31088.0,35447.631015,385.0
2015-03-02,75597.0,28093.73801,70656.0,42031.0,18037.203,219586.628,18593.98297,19749.0,22436.75503,49.0
2015-03-03,68631.0,25402.964,64683.0,37304.0,16649.781,197658.689,16960.240966,17541.0,19887.21287,82.0
2015-03-04,67758.0,26102.309,61480.0,38730.0,15431.845,191024.683,16941.214115,17202.0,19341.701055,97.0
2015-03-05,64200.0,22572.423,52506.0,32177.0,14989.219000000001,164628.436,16996.032996,14094.0,18092.993052,106.0
2015-03-06,72164.0,23524.809,53195.0,35157.0,14437.61699,170777.912,22357.61794,12826.0,23954.62393,340.0
2015-03-07,105999.0,31282.331000000002,78275.0,50517.0,21175.05003,253244.349,20487.39702,21816.0,25695.5149,696.0
2015-03-08,109904.0,34514.20998,76246.0,53023.0,21294.119,259121.929,20667.754035,22841.0,26140.716986,488.0
2015-03-09,72537.0,26119.1501,58185.0,38047.0,15240.234,191069.84100000001,16216.851,15474.0,18283.03099,53.0
2015-03-10,69134.0,23891.614,56199.0,35151.0,14511.535034,182950.254,14774.276042,15751.0,17240.143015,70.0
2015-03-11,65135.0,22966.518,51913.0,34546.0,12337.309000000001,165257.651,14004.998076,14801.0,16919.848985,65.0
2015-03-12,58096.0,20875.71802,44887.0,29252.0,12619.483,148104.89,15323.378014,12173.0,15291.398015,128.0
2015-03-13,69359.0,22417.54101,48508.0,32664.0,13838.756010000001,160870.571,20115.56312,11630.0,21550.33705,306.0
2015-03-14,100108.0,29884.13,71586.0,47344.0,19101.429,237031.183,19203.32292,19612.0,24610.75298,662.0
2015-03-15,103675.0,35506.986,76968.0,53804.0,22042.399,261409.549,21329.73096,22720.0,29959.432937,308.0
2015-03-16,67787.0,25938.475,57139.0,37328.0,15197.778,185988.03,15984.312958,14811.0,18899.736945,41.0
2015-03-17,56083.0,23542.034,50201.0,33423.0,13861.203,168122.935,15561.911945,12128.0,16861.105087,55.0
2015-03-18,51117.0,25979.68302,46595.0,33755.0,12365.541,162192.898,14442.658,11041.0,15275.538943,77.0
2015-03-19,51270.0,21640.818,44219.0,29905.0,12916.47701,146201.015,15591.45302,9793.0,15701.056956,110.0
2015-03-20,65964.0,26381.24407,54887.0,35782.0,14278.98,179741.725,20885.584,12459.0,22508.777974,295.0
2015-03-21,99110.0,32041.679,72072.0,48899.0,18819.32,242551.206,19044.7941,17891.0,24903.63409,570.0
2015-03-22,100532.0,36056.73592,75309.0,53918.0,21780.74,255240.134,21015.381094,20071.0,27087.01686,369.0
2015-03-23,67213.0,26428.302,55696.0,37024.0,15519.991,185168.658,16232.496038,13682.0,18977.521978,44.0
2015-03-24,56124.0,22940.537,49097.0,32512.0,13406.63902,165856.095,14176.964025,10882.0,16468.269975,66.0
2015-03-25,56342.0,24077.447,49392.0,34375.0,12545.13498,162911.69,13874.25095,10476.0,16404.381986,66.0
2015-03-26,53874.0,21095.6,41913.0,28512.0,12747.267,143132.866,15009.425001,9227.0,15520.30399,96.0
2015-03-27,69563.0,23690.374,48605.0,35119.0,13298.874,162282.692,20130.84197,9793.0,20473.267032,338.0
2015-03-28,91796.0,29934.86102,68567.0,46864.0,18464.628,230076.009,17949.533034,16650.0,22994.492,577.0
2015-03-29,92581.0,35855.746,76081.0,53608.0,21203.128,260681.794,19190.00301,20344.0,25737.22814,231.0
2015-03-30,59422.0,24684.888,53716.0,36006.0,14353.066,180880.057,13900.809981999999,13022.0,15839.144986,62.0
2015-03-31,58428.0,23770.24902,55313.0,36221.0,13747.447,184738.814,13833.01002,13152.0,15871.15503,73.0
2015-04-01,72437.0,28131.937,70444.0,47767.0,16287.747,232847.405,15994.276011,17716.0,19544.147003000002,102.0
2015-04-02,75373.0,24704.748,63257.0,45298.0,15578.09798,211871.603,14414.721003999999,15989.0,18810.61104,242.0
2015-04-03,79073.0,25290.161,56894.0,41882.0,14619.523000000001,196734.626,16546.52601,15798.0,21048.269949999998,416.0
2015-04-04,100278.0,31663.154,82407.0,48347.0,20434.26,256513.49300000002,20006.120869,21438.0,25851.59101,694.0
2015-04-05,97667.0,36113.191100000004,81060.0,51737.0,22599.137,263680.072,20233.801928,23020.0,29493.488107,298.0
2015-04-06,74249.0,28049.744,66976.0,40184.0,17528.547,207987.493,17174.712946,17432.0,21796.77102,39.0
2015-04-07,69443.0,25013.898,59445.0,35929.0,14699.284,181837.975,15963.009979999999,15250.0,19650.07399,72.0
2015-04-08,66312.0,25054.93098,57456.0,35979.0,14366.669,187419.366,14909.514053,13743.0,18337.761975999998,88.0
2015-04-09,59861.0,21532.96897,51981.0,29937.0,13255.189,151907.571,16425.36396,12005.0,16217.52799,104.0
2015-04-10,72353.0,22950.974000000002,52743.0,33687.0,14213.175,161005.293,22392.435032,11794.0,22748.05798,302.0
2015-04-11,101645.0,30315.625,78630.0,46238.0,18937.347999999998,228378.698,19222.237993,18435.0,23274.63205,580.0
2015-04-12,107316.0,36115.34799,78943.0,53502.0,22216.55501,255796.74,20900.125981,22101.0,27181.5131,326.0
2015-04-13,69918.0,24842.779,58533.0,35416.0,14947.171,175646.771,15064.029008,14345.0,17497.073038,50.0
2015-04-14,56924.0,22577.63998,51107.0,30438.0,13127.084,162207.786,15032.45697,12687.0,15180.032015,66.0
2015-04-15,62284.0,24848.801,54704.0,35230.0,13926.500024,173006.826,15580.299995,13751.0,16921.728946,76.0
2015-04-16,58135.0,23205.06598,52113.0,31794.0,14814.204,162993.238,16426.657954,12955.0,17147.59002,106.0
2015-04-17,69325.0,23810.057,53550.0,35317.0,14465.48,169448.603,22305.576957999998,12196.0,21828.64579,329.0
2015-04-18,104019.0,31023.17998,74326.0,49669.0,19684.081,238763.281,19715.47991,19437.0,24149.04282,601.0
2015-04-19,111810.0,36415.8551,80001.0,57072.0,22822.314,267386.763,21501.53204,22760.0,27638.355035,357.0
2015-04-20,70266.0,26350.74201,62819.0,38517.0,16148.774,191003.335,16228.593954,14595.0,18013.586005,51.0
2015-04-21,61786.0,24047.208,53220.0,33530.0,14008.718,168696.603,14873.26905,12686.0,16129.71602,47.0
2015-04-22,65191.0,23365.53202,52446.0,33967.0,12744.587,162872.983,14738.019003,12556.0,15753.226032,78.0
2015-04-23,60910.0,22023.702,48841.0,30274.0,13968.929,148636.952,15340.601036,10331.0,15838.963974,106.0
2015-04-24,73523.0,23639.01297,49537.0,33792.0,13455.574,156742.763,21471.811977,10752.0,21805.302005999998,334.0
2015-04-25,102105.0,30620.64393,67603.0,45705.0,18297.849000000002,220235.349,18714.728,16852.0,23565.88501,567.0
2015-04-26,104082.0,35610.543,72825.0,51938.0,20772.563,240327.143,19862.50403,19232.0,26315.77299,404.0
2015-04-27,66069.0,24984.945,54311.0,34230.0,13695.422,163064.675,15109.567015999999,12202.0,16332.300062,49.0
2015-04-28,57552.0,21394.036,45626.0,29839.0,12249.883,145976.658,13782.985036,10803.0,14301.90905,83.0
2015-04-29,66330.0,22595.435980000002,49292.0,31530.0,11970.55499,149976.626,14660.10107,10592.0,14707.57502,167.0
2015-04-30,70911.0,23581.36,49337.0,32435.0,14389.428,162435.039,17713.22197,11720.0,17122.321996,429.0
2015-05-01,108439.0,31972.6171,77448.0,48210.0,20959.211,259077.491,27998.921961,20980.0,29123.563044,894.0
2015-05-02,115923.0,34581.288,84990.0,52131.0,21864.381,276902.81,22563.79293,23723.0,26343.83399,697.0
2015-05-03,118220.0,41835.236,87786.0,57596.0,25075.078,297966.859,23621.972025,25389.0,28100.30601,304.0
2015-05-04,82034.0,30158.261,65879.0,41448.0,17454.495,218378.546,18326.997978,17380.0,19966.776987,42.0
2015-05-05,73822.0,27810.775,61733.0,37761.0,16313.506,198118.46,17393.47901,15512.0,18351.613995,51.0
2015-05-06,72650.0,27863.622,59676.0,38609.0,14567.77801,195910.238,16859.342946,14281.0,20151.393,83.0
2015-05-07,70516.0,23899.896,49633.0,32472.0,13952.469014,165449.144,16608.597934,11779.0,19671.87099,139.0
2015-05-08,76100.0,24110.00802,50705.0,35899.0,14805.071,172985.113,23632.84998,11475.0,24400.879995,605.0
2015-05-09,120977.0,32789.78498,72681.0,56704.0,21553.961,259992.975,21910.323906,18968.0,28007.259144,1495.0
2015-05-10,103419.0,29973.03803,55371.0,44236.0,18244.825,206724.41999999998,16721.14801,16278.0,21647.32901,1219.0
2015-05-11,100265.0,28182.191,57848.0,39753.0,16146.89402,191499.08,16764.815034,14458.0,17871.883009,37.0
2015-05-12,86067.0,24670.507,49852.0,33540.0,13692.768012,165119.674,15077.908002,12298.0,15167.188023,51.0
2015-05-13,87980.0,24117.165,49440.0,34067.0,12871.92,159743.46,14836.767,11290.0,15357.639995,89.0
2015-05-14,76833.0,21140.90208,43063.0,28259.0,12530.019,139671.848,15158.378963,10406.0,14091.654035,106.0
2015-05-15,88813.0,23635.946,51081.0,34180.0,13860.507,170752.936,22738.50114,12325.0,22402.560991,337.0
2015-05-16,138256.0,32755.587,78701.0,52158.0,19821.337,255112.214,20509.150953,21801.0,25440.45102,584.0
2015-05-17,160410.0,40693.63197,85704.0,60822.0,24271.73,289395.68200000003,22461.837018,25464.0,28733.799148,334.0
2015-05-18,91905.0,26081.41702,55042.0,38035.0,14963.841,181312.817,16529.167933,14407.0,18119.377008,54.0
2015-05-19,84465.0,23353.893,49329.0,33291.0,13224.494,162110.127,15626.950013,12235.0,16417.10401,65.0
2015-05-20,85446.0,24317.12802,53446.0,35324.0,12773.454,170327.635,15449.075045,13361.0,16887.232923,82.0
2015-05-21,81561.0,21208.752,44828.0,29299.0,12411.96998,150069.802,15211.788,10913.0,15009.29904,118.0
2015-05-22,86392.0,22478.41998,48824.0,33464.0,13596.089,153411.168,22636.162049,11437.0,22100.03902,363.0
2015-05-23,128075.0,30986.426,71061.0,47996.0,19111.812,234771.618,19438.40494,18959.0,24674.769,553.0
2015-05-24,147438.0,37980.8179,77979.0,57503.0,22687.38897,264318.525,21332.98,22739.0,28262.621965000002,362.0
2015-05-25,142885.0,25667.143,52687.0,37296.0,14873.288,174048.198,15542.067979,13777.0,18469.13703,51.0
2015-05-26,119315.0,22047.79802,46002.0,32592.0,13075.61,152932.952,14535.16798,11198.0,15597.936001,56.0
2015-05-27,130646.0,23181.05899,47368.0,34189.0,12296.609,155632.078,14118.889996,11206.0,16188.804953,74.0
2015-05-28,110606.0,21223.227039999998,40981.0,28373.0,13066.972020000001,140115.033,15801.898971,9918.0,14054.24798,103.0
2015-05-29,142542.0,23578.207,55249.0,35405.0,15390.121009999999,180328.181,25128.141998,13650.0,23896.842005,363.0
2015-05-30,222684.0,34623.14197,89702.0,54465.0,22509.863014,285812.716,21922.18198,25493.0,26791.006019,559.0
2015-05-31,279416.0,45596.524,100616.0,68231.0,27704.027000000002,345804.68200000003,25234.23806,30629.0,31737.521996,302.0
2015-06-01,177796.0,28464.565,72717.0,44231.0,18556.242,240045.134,19475.995998,21056.0,21839.73599,115242.9068
2015-06-02,158218.0,25959.771,68817.0,40389.0,16809.46899,216953.905,19035.098998,19096.0,19987.849904,120367.661
2015-06-03,148618.0,26101.1131,64431.0,40246.0,15256.003,200619.96,17167.412949999998,16535.0,19346.055006,152806.35902
2015-06-04,129861.0,23438.385,53181.0,34050.0,14747.477,171731.817,18395.83402,12955.0,17557.586982,90173.9701
2015-06-05,139106.0,24290.845,55756.0,36633.0,15483.143,177177.366,24743.479021,12670.0,25777.072016000002,97410.761
2015-06-06,203812.0,31691.84101,76457.0,50103.0,20118.927,254754.738,20994.432964,19870.0,25260.16299,129070.0572
2015-06-07,256266.0,42288.4081,88438.0,62038.0,24778.02797,299787.413,23880.160789999998,25273.0,28744.17603,153590.71994
2015-06-08,153741.0,27108.885000000002,58519.0,39530.0,16360.598,197175.062,17642.513005,14541.0,18248.584002,109757.55903
2015-06-09,133264.0,24010.112,52146.0,34469.0,14392.54602,172370.166,16738.376032,12535.0,15793.338025000001,107666.3111
2015-06-10,131189.0,24002.71901,49790.0,35260.0,13059.033,165412.586,15975.94404,12213.0,16091.383038,137377.6869
2015-06-11,108538.0,21237.505,41538.0,29577.0,12793.34499,137494.046,16257.875951,9310.0,13863.683975,79850.119
2015-06-12,130983.0,23437.888,48168.0,34833.0,14493.379,156527.644,24672.236975,10545.0,21942.76002,94881.74797
2015-06-13,193557.0,30971.32287,68371.0,49056.0,18728.19,227296.65899999999,19951.619056,18056.0,22587.58801,125091.86598
2015-06-14,231832.0,38453.53693,74909.0,59000.0,22997.81,262870.546,22240.826956,21187.0,26450.25702,145670.22697
2015-06-15,147746.0,26333.17005,53813.0,39010.0,15617.829,180145.231,16329.65504,13277.0,18314.60197,109973.9947
2015-06-16,144085.0,26398.35803,55445.0,38413.0,15116.047,183310.603,17152.415088,13977.0,17675.666969,115598.51
2015-06-17,137699.0,25401.23,51944.0,38815.0,13575.346,169991.914,16141.405015,12385.0,19258.213998,145428.9741
2015-06-18,117815.0,22457.426,44993.0,32266.0,13088.002,148958.904,17152.75805,10078.0,15434.342995,87593.8651
2015-06-19,149341.0,24146.491,49266.0,38505.0,14966.16,166846.158,25163.482019,10859.0,25313.056014,102804.28463
2015-06-20,213946.0,33141.999,71082.0,56984.0,21002.364,247911.135,22351.899991,18086.0,26639.30487,148067.8345
2015-06-21,189656.0,31472.29,59052.0,48560.0,19311.086,211947.96,17883.756966,16319.0,22338.65018,122266.561
2015-06-22,155611.0,28681.688000000002,58569.0,40463.0,15761.534,192965.976,16048.908,14602.0,18185.41702,112973.9259
2015-06-23,134868.0,25014.457019999998,52474.0,37072.0,14440.857,173364.278,15295.313985,13175.0,17249.73101,113748.112
2015-06-24,129511.0,24356.45,49276.0,36839.0,13195.153014,163082.842,14534.166054,11386.0,17704.606004,139986.153
2015-06-25,112540.0,21711.00997,41829.0,30322.0,12135.436,140169.208,15165.796994,9839.0,14586.231984,82444.44095
2015-06-26,129554.0,23288.511,46224.0,34367.0,14104.2,152699.079,21510.883121,10046.0,22767.44199,92485.5887
2015-06-27,189444.0,30650.656,68854.0,48301.0,18599.808,222791.096,19221.381996,16996.0,24584.14901,125449.27917
2015-06-28,233445.0,38668.373,78103.0,59140.0,22706.283,262815.985,21530.78397,21370.0,28240.2101,147185.46903
2015-06-29,143810.0,26110.334,52166.0,37571.0,14600.017,171486.523,15840.18299,12576.0,17551.242005,104018.2352
2015-06-30,141374.0,25639.259,59617.0,37545.0,15435.556,186557.54,16519.534,15232.0,17191.083062,110233.364
2015-07-01,178850.0,29594.43,76262.0,48665.0,18859.253,245410.095,20600.820955,20254.0,22951.199028,168078.684
2015-07-02,150691.0,25975.114,64136.0,37878.0,16228.85799,204435.0,20570.16109,16227.0,20094.382024,100528.141
2015-07-03,167561.0,27008.345980000002,64655.0,42215.0,18858.724000000002,209391.215,27455.556062,15664.0,30448.521916,113193.95998
2015-07-04,231442.0,34677.515,88700.0,54665.0,22350.47901,291750.531,23758.068105,24151.0,28974.70602,140237.1108
2015-07-05,222054.0,36723.212,85002.0,54979.0,22697.616,283927.351,23139.65203,24154.0,28083.57802,139023.8929
2015-07-06,163773.0,29191.475000000002,65921.0,42215.0,18993.983,223417.047,18030.295998,17766.0,19603.87306,104761.9681
2015-07-07,133971.0,24256.432,57457.0,35509.0,16416.775,193016.525,16314.074988,15604.0,16538.469018,101869.57354
2015-07-08,148297.0,27318.887,58798.0,40922.0,15336.82505,196614.342,17610.232886,14706.0,18249.92221,148482.4599
2015-07-09,126515.0,23588.132,50760.0,34422.0,14147.362000000001,171146.667,17641.892095,12477.0,17031.394006,95882.34730000001
2015-07-10,134557.0,23825.22998,51637.0,35728.0,15506.79102,174596.214,23649.561048,12126.0,24262.799066,100258.50205
2015-07-11,175384.0,29101.193,65218.0,44899.0,18140.572,221858.944,19523.563054000002,17159.0,22395.197024,120104.33305
2015-07-12,205222.0,35043.091,73446.0,53296.0,21797.399989999998,251266.732,19497.753925,20845.0,24093.003945,136959.8699
2015-07-13,138442.0,26062.01198,54337.0,37860.0,15370.222,181603.563,16666.838057,13392.0,16566.773945,104220.9899
2015-07-14,128372.0,23723.895,48838.0,33850.0,13626.974,164514.262,15271.321975,12242.0,15495.900006,106608.167
2015-07-15,132498.0,24978.27602,53078.0,37983.0,13870.745,174237.801,15933.18502,12749.0,17423.657026,138727.33711
2015-07-16,123396.0,22999.868,48323.0,33216.0,13595.39,165652.515,17342.60005,12400.0,17290.288994,88957.568
2015-07-17,135501.0,24424.312,52295.0,36243.0,15610.85398,176525.57,24781.04099,11746.0,25551.150137,100783.492
2015-07-18,180644.0,30217.215,68208.0,46426.0,18078.936,231607.333,19108.236024,17890.0,23454.73301,124734.769
2015-07-19,198112.0,35051.043,74611.0,52786.0,21471.77997,250653.532,21284.265952,19952.0,26481.198955,137289.0375
2015-07-20,143393.0,26999.75,59040.0,39408.0,15987.22,195151.691,17648.191992,14189.0,18405.436976,108811.159
2015-07-21,124720.0,23715.59602,51922.0,33907.0,13493.355,171116.69,15347.755986,11934.0,15413.488949999999,105839.24003
2015-07-22,123891.0,24386.958,48263.0,35032.0,12604.475,166557.221,14937.954015,11120.0,16536.019096,136398.35080000001
2015-07-23,110462.0,22023.03501,44188.0,30217.0,12774.024,154131.57200000001,16429.50006,10144.0,16157.80401,84649.44797
2015-07-24,130521.0,24883.553,50148.0,35435.0,15473.139000000001,171010.769,24199.39496,10690.0,23637.64402,97143.54700400001
2015-07-25,179044.0,29504.99305,64636.0,44097.0,17784.72498,219129.332,18875.16103,15761.0,22753.986,118094.5709
2015-07-26,198840.0,35572.51003,69223.0,50691.0,20518.022,243256.484,19570.71005,19218.0,24495.197955,134396.5292
2015-07-27,135793.0,27393.78,53515.0,37112.0,15254.879,183082.723,16985.964966,12573.0,18164.099046,106585.1473
2015-07-28,121059.0,24186.386,48183.0,32859.0,13640.16398,164466.755,15803.05903,12208.0,15325.920033999999,103990.6125
2015-07-29,124694.0,24554.873,47350.0,34624.0,12685.621000000001,162269.064,15101.05105,11407.0,16403.345931,133356.13753
2015-07-30,111569.0,21510.553,46798.0,30191.0,12617.09,154272.318,16687.76595,11420.0,14498.894972,83037.75368
2015-07-31,139862.0,25877.904,57082.0,37485.0,17359.02301,198189.444,25138.047975,14416.0,25206.450986,100138.091
2015-08-01,223619.0,34519.769,97013.0,54379.0,23391.55602,313286.902,23571.360966,27271.0,28583.20597,135998.6691
2015-08-02,226146.0,38518.11302,92450.0,57928.0,24574.16397,310539.311,23137.239990000002,27770.0,27437.3061,145339.75595
2015-08-03,164279.0,29201.81,79876.0,43520.0,18557.228,239833.199,18847.147906,20244.0,20059.24518,118387.83903
2015-08-04,146430.0,26616.683,64432.0,38948.0,16875.735,210061.041,17690.184106,16785.0,18661.27901,118632.00899999999
2015-08-05,145053.0,25987.713,59582.0,39079.0,15371.55,197778.866,17532.612018,15094.0,18507.312974,141218.54502
2015-08-06,122278.0,22822.822,50170.0,31195.0,13994.0,169316.263,17012.683052,12754.0,16452.002026,85066.3147
2015-08-07,141550.0,24584.54203,54082.0,35813.0,16326.742,183246.191,25385.48101,12610.0,24707.564006,94648.00401
2015-08-08,174314.0,28077.5832,65274.0,43406.0,17777.225,222473.985,18293.946886,17481.0,21473.944896,110496.658
2015-08-09,147786.0,26716.453,56966.0,38427.0,16380.32,196120.485,17309.490005,15673.0,18732.349015,99715.4981
2015-08-10,169813.0,30025.0871,64049.0,45178.0,18626.568,225163.404,18538.482002,17859.0,21314.074003,118032.35607
2015-08-11,135807.0,25980.323,53217.0,37077.0,15423.432,190475.889,16210.370974,13404.0,17834.974091,118112.8569
2015-08-12,135600.0,25455.15288,52148.0,37633.0,14474.738,178916.517,15916.98001,13723.0,17829.9699,141380.8219
2015-08-13,115113.0,22410.368,46135.0,31685.0,13424.503999999999,158137.523,16403.653968,10944.0,16159.09395,87805.36805
2015-08-14,171899.0,26275.78297,53403.0,37024.0,16719.653996,214621.183,23600.634989,12727.0,25545.378153999998,101593.362
2015-08-15,217135.0,32509.90608,75837.0,48578.0,19946.925,280491.477,20403.94099,19398.0,24718.795975,128147.178
2015-08-16,208213.0,34851.878,75824.0,50930.0,21178.461,266657.285,20616.15998,21048.0,25480.778935000002,131493.9271
2015-08-17,149741.0,26361.76895,59718.0,38358.0,15755.025,205150.612,16725.028985,14854.0,18549.113,102769.5989
2015-08-18,132609.0,23915.94802,52749.0,33273.0,14119.251,181016.014,15377.124025,13064.0,15722.33104,106468.225
2015-08-19,131368.0,23995.152000000002,51157.0,35760.0,13250.039,178550.626,15654.345964,12581.0,16360.620083,132449.57997
